Duplication Level	Relative count
1	100.0
2	75.73674714322536
3	67.7678494716041
4	50.5520233697053
5	33.520921041326574
6	20.018901967522982
7	11.55167969756852
8	6.441704613798437
9	3.6150012887705127
10++	60.38534238336627
