GC Content	Count
0	247.0
1	315.0
2	434.5
3	611.0
4	770.5
5	1362.0
6	1547.0
7	1062.5
8	942.5
9	1149.0
10	1798.5
11	2585.0
12	3496.0
13	4841.5
14	5497.5
15	6054.0
16	8999.0
17	14375.0
18	19918.0
19	25714.5
20	33177.0
21	42714.5
22	52386.5
23	64719.5
24	84075.0
25	105906.5
26	128381.5
27	155955.0
28	185967.0
29	208467.5
30	238044.5
31	269443.5
32	290382.0
33	312610.0
34	337317.0
35	352351.5
36	366131.5
37	388667.5
38	413571.0
39	446427.5
40	500370.0
41	578161.0
42	670440.5
43	791321.0
44	945937.5
45	1125687.5
46	1341623.5
47	1581823.5
48	1821016.0
49	2055836.5
50	2273277.0
51	2454981.0
52	2583144.5
53	2637287.5
54	2611204.0
55	2502246.0
56	2305215.0
57	2036019.5
58	1727254.0
59	1410945.5
60	1106474.0
61	830505.0
62	598086.0
63	415061.5
64	279976.5
65	183877.5
66	117732.5
67	74419.5
68	46142.5
69	28127.0
70	17718.0
71	11353.5
72	7255.0
73	4730.0
74	3154.5
75	2160.0
76	1542.0
77	1076.0
78	722.5
79	526.0
80	396.5
81	293.0
82	230.0
83	167.5
84	114.0
85	86.5
86	62.0
87	39.5
88	30.0
89	26.0
90	20.5
91	15.0
92	9.0
93	5.0
94	5.5
95	5.0
96	3.0
97	1.5
98	1.5
99	2.5
100	3.5
