Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.42642006923962	34.0	31.0	34.0	31.0	34.0
2	32.637513101500794	34.0	31.0	34.0	31.0	34.0
3	32.71016222176657	34.0	31.0	34.0	31.0	34.0
4	36.181410801121196	37.0	37.0	37.0	35.0	37.0
5	36.08496255534406	37.0	35.0	37.0	35.0	37.0
6	36.08028628550821	37.0	36.0	37.0	35.0	37.0
7	36.06310923546198	37.0	36.0	37.0	35.0	37.0
8	36.05424486259567	37.0	35.0	37.0	35.0	37.0
9	37.79019351630629	39.0	38.0	39.0	35.0	39.0
10-14	38.01705539637976	39.4	38.2	39.4	35.2	39.4
15-19	39.03085192915562	40.2	38.2	41.0	35.6	41.0
20-24	38.8248014858518	40.0	38.0	41.0	34.8	41.0
25-29	38.43004395536066	40.0	38.0	41.0	34.0	41.0
30-34	37.920771743640884	40.0	37.6	41.0	32.8	41.0
35-39	37.69855172606669	40.0	37.0	41.0	32.4	41.0
40-44	37.594419670415476	40.0	37.0	41.0	32.0	41.0
45-49	37.3086442813762	39.4	36.2	41.0	31.8	41.0
50-54	36.49447455369009	38.6	35.0	40.4	30.8	41.0
55-59	35.45691719255252	37.0	34.4	39.8	29.4	41.0
60-64	34.34901291734985	35.4	33.6	38.6	28.0	40.6
65-69	33.26824255359885	35.0	33.0	36.8	26.4	39.6
70-74	32.26406716107674	35.0	31.8	35.4	25.2	38.2
75-79	31.25809594313794	33.8	30.8	35.0	23.8	36.2
80-84	31.108650532523455	34.0	31.0	35.0	23.2	35.8
85-89	30.363305798788492	34.0	30.6	35.0	19.4	35.0
90-94	29.435907219157038	34.0	29.4	35.0	11.2	35.0
95-99	28.222493582163377	33.2	28.6	35.0	2.0	35.0
100-101	25.791726490682123	31.5	23.0	34.5	2.0	35.0
