n,n:200,n:N50,min,N80,N50,N20,max,sum,set
25941,4372,330,200,6946,18044,35883,78329,20.54e6,assemble.m75-contigs.fa
1584,1584,117,200,26143,57237,95547,199401,20.36e6,scaffolds.n5.fa
8146,1746,167,200,16252,38669,71303,174379,20.38e6,../abyss-k64/pacbio_abyss_k64-contigs.fa
7243,1084,120,200,24221,51236,95736,200210,20.37e6,../abyss-k64/pacbio_abyss_k64-scaffolds.fa
