Base	N-Count
1	0.2681462972883792
2	0.2780198920875004
3	0.27839846270045493
4	0.28991883966592846
5	0.2867696053794127
6	0.18502402101521187
7	0.18997146571326182
8	0.1838599163803766
9	0.18819928203136826
10-14	0.1666023017755766
15-19	0.15972272731165982
20-24	0.1537654455035536
25-29	0.15616842246928267
30-34	0.15629997575728438
35-39	0.14312761127953036
40-44	0.13335717697243926
45-49	0.12797958141541968
50-54	0.13004468410908682
55-59	0.1414316149334939
60-64	0.15796095432162252
65-69	0.15929068359962542
70-74	0.15756960695048075
75-79	0.15388895416603002
80-84	0.15637663630640766
85-89	0.1484077249037141
90-94	0.1526638050198558
95-99	0.16091853723533006
100-101	0.15979583876128667
