Base	%GC
1	52.043051879873914
2	38.97603560740488
3	44.43144483921222
4	48.17503845952146
5	48.36975812922471
6	49.72685160350308
7	49.24826626011712
8	46.86416886335889
9	48.426625093301006
10-14	49.18572025869338
15-19	49.778609418713245
20-24	49.65341591273905
25-29	49.76744503264646
30-34	49.9894348531547
35-39	49.947124367161095
40-44	50.00341926676648
45-49	50.14078413988384
50-54	50.04135583493825
55-59	50.05238000043929
60-64	50.09127393173066
65-69	50.04441722392101
70-74	50.09607787035251
75-79	50.160921526430755
80-84	50.112389048632856
85-89	50.16613312109579
90-94	50.265999159548926
95-99	50.23941024495766
100-101	50.56657207515881
