Quality	Count
2	1364.0
3	813.0
4	1155.0
5	1876.0
6	3284.0
7	5882.0
8	10787.0
9	18145.0
10	28308.0
11	40839.0
12	54840.0
13	70529.0
14	87252.0
15	107263.0
16	135214.0
17	168719.0
18	208096.0
19	252008.0
20	299005.0
21	353048.0
22	418362.0
23	499469.0
24	603758.0
25	736489.0
26	902546.0
27	1105092.0
28	1353186.0
29	1658206.0
30	2043368.0
31	2549310.0
32	3256722.0
33	4303355.0
34	6046205.0
35	9335290.0
36	1.5521879E7
37	1.8196308E7
38	8257404.0
39	1237289.0
40	2742.0
