n,n:200,n:N50,min,N80,N50,N20,max,sum,set
353,353,60,1160,57393,106883,215609,366413,21.09e6,abyss-k64/pacbio_abyss_k64_cerulean.fasta
255,255,43,2189,73446,159023,303783,489237,21.64e6,abyss-k64/pbjelly/jelly.out.fasta
1584,1584,117,200,26143,57237,95547,199401,20.36e6,sga/scaffolds.n5.fasta
833,809,29,200,104982,234931,383728,767671,20.65e6,sga/pbjelly/jelly.out.fasta
2877,999,80,200,37836,78347,150293,280862,20.32e6,soap-denovo-k81/U_bromivora.scaffolds.fasta
2461,607,34,200,101733,201830,337875,541843,20.57e6,soap-denovo-k81/pbjelly/jelly.out.fasta
